episode,score,global_step,avg_loss,step
486,0.0,78734,0.003097424604238068,130
487,1.0,78874,0.0031371997706368606,140
488,1.0,79018,0.0032778508518763122,144
489,3.0,79244,0.0029732158469631884,226
490,4.0,79532,0.0028615043712629054,288
491,1.0,79697,0.002868789518971894,165
492,0.0,79820,0.0027059811720273426,123
493,4.0,80113,0.002879072623192099,293
494,0.0,80210,0.0029949845661154614,97
495,2.0,80397,0.003345322722649669,187
496,3.0,80610,0.0030653934838286694,213
497,1.0,80768,0.0029038826146173544,158
498,2.0,80976,0.002761426742368328,208
499,0.0,81108,0.003062788141926031,132
500,3.0,81313,0.0030457622964848536,205
501,0.0,81428,0.003224375152548537,115
502,1.0,81578,0.0028610691802744745,150
503,2.0,81751,0.0029230423804309756,173
504,0.0,81863,0.0030050350032492395,112
505,0.0,81974,0.0028105690299435903,111
506,1.0,82116,0.0034899898475749735,142
507,2.0,82313,0.003201004684247836,197
508,0.0,82417,0.002400820133813725,104
509,5.0,82702,0.0022550704254746578,285
510,1.0,82873,0.0028547435074561525,171
511,1.0,83023,0.0029221255011392107,150
512,0.0,83132,0.0029278097309050934,109
513,0.0,83241,0.002946815032023259,109
514,3.0,83488,0.002801199757581535,247
515,2.0,83667,0.003214177534471917,179
516,2.0,83856,0.0025270692717568304,189
517,6.0,84217,0.002780495791859338,361
518,1.0,84372,0.003262403044127202,155
519,0.0,84479,0.003107158681814326,107
520,0.0,84589,0.0027723124034888646,110
521,0.0,84690,0.00291663335722453,101
522,1.0,84849,0.002961170133955346,159
523,0.0,84978,0.0025355425337911866,129
524,2.0,85203,0.0027628186100587806,225
525,1.0,85338,0.0027526837114709014,135
526,1.0,85475,0.0030154430063517447,137
527,4.0,85783,0.0027116026898224904,308
528,3.0,86042,0.002686586656213648,259
529,0.0,86148,0.003003795416044289,106
530,1.0,86320,0.002592458151768771,172
531,0.0,86433,0.0026631081854070825,113
532,2.0,86644,0.0029139131031645717,211
533,1.0,86807,0.002601476702250029,163
534,3.0,87005,0.0029072391312711995,198
535,1.0,87148,0.002920424874602148,143
536,0.0,87264,0.003334358814280175,116
537,2.0,87479,0.003287407229635032,215
538,0.0,87616,0.0026862622848767407,137
539,1.0,87774,0.0025145049000422685,158
540,3.0,88010,0.0028216051192676956,236
541,0.0,88118,0.0033238611670606552,108
542,4.0,88387,0.002719425676988239,269
543,3.0,88607,0.0033157616119793105,220
544,1.0,88748,0.002811487264307611,141
545,0.0,88881,0.0029321193008782806,133
546,3.0,89130,0.0032955160468446706,249
547,2.0,89291,0.0028188172324566866,161
548,0.0,89419,0.0029061897843405404,128
549,0.0,89528,0.0031920242981243,109
